name	file	line	callers	classification
feynmanGraphEstimateModel_nonempty_of_expansion_and_phi4_weighted	Phi4/FeynmanGraphs/LocalizedBounds.lean	1873	0	CONTENTFUL
freeCovarianceKernelModel_nonempty_of_two_point_kernel	Phi4/FreeField.lean	224	0	CONTENTFUL
interactionWeightModel_nonempty_of_tendsto_ae_and_geometric_integral_bound	Phi4/Interaction/Part1Core.lean	1134	0	CONTENTFUL
regularityModel_nonempty_of_wick_eom_exhaustion_limit_global_uniform	Phi4/Regularity.lean	989	0	CONTENTFUL
wightmanReconstructionModel_nonempty_of_os_to_wightman	Phi4/ReconstructionUpstream.lean	33	0	CONTENTFUL
correlationFourPointModel_nonempty_of_inequality_and_schwingerFourMonotone	Phi4/CorrelationInequalities.lean	232	1	CONTENTFUL
euclideanEquationModel_nonempty_of_data	Phi4/Regularity.lean	228	1	CONTENTFUL
feynmanGraphEstimateModel_nonempty_of_expansion_and_degree_weighted	Phi4/FeynmanGraphs/LocalizedBounds.lean	887	1	CONTENTFUL
freeCovarianceKernelModel_nonempty_of_data	Phi4/FreeField.lean	213	1	CONTENTFUL
generatingFunctionalBoundModel_nonempty_of_data	Phi4/Regularity.lean	241	1	CONTENTFUL
generatingFunctionalBoundModel_nonempty_of_exhaustion_limit_global_uniform	Phi4/Regularity.lean	936	1	CONTENTFUL
interactionUVModel_nonempty_of_data	Phi4/Interaction/Part1Core.lean	318	1	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_geometric_exp_moment_bound	Phi4/Interaction/Part1Core.lean	1075	1	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_uniform_lintegral_bound	Phi4/Interaction/Part1Core.lean	940	1	CONTENTFUL
latticeSchwingerNMonotoneModel_nonempty_of_data	Phi4/CorrelationInequalities.lean	463	1	CONTENTFUL
latticeSchwingerNMonotoneModel_two_nonempty_of_latticeTwo	Phi4/CorrelationInequalities.lean	520	1	CONTENTFUL
nonlocalPhi4BoundModel_nonempty_of_data	Phi4/Regularity.lean	252	1	CONTENTFUL
nonlocalPhi4BoundModel_nonempty_of_global_uniform	Phi4/Regularity.lean	969	1	CONTENTFUL
reconstructionLinearGrowthModel_nonempty_of_data	Phi4/Reconstruction/Part1Core.lean	576	1	CONTENTFUL
regularityModel_nonempty_of_submodel_nonempty	Phi4/Regularity.lean	276	1	CONTENTFUL
schwingerLimitModel_nonempty_of_data	Phi4/InfiniteVolumeLimit/Part1.lean	454	1	CONTENTFUL
schwingerLimitModel_nonempty_of_limit_data	Phi4/InfiniteVolumeLimit/Part1.lean	470	1	CONTENTFUL
schwingerNMonotoneModel_two_nonempty_of_lattice	Phi4/CorrelationInequalities.lean	538	1	CONTENTFUL
schwingerUniformBoundModel_nonempty_of_data	Phi4/InfiniteVolumeLimit/Part1.lean	445	1	CONTENTFUL
uniformGeneratingFunctionalBoundModel_nonempty_of_data	Phi4/Regularity.lean	264	1	CONTENTFUL
uniformGeneratingFunctionalBoundModel_nonempty_of_global_uniform	Phi4/Regularity.lean	952	1	CONTENTFUL
wickCubicConvergenceModel_nonempty_of_data	Phi4/Regularity.lean	214	1	CONTENTFUL
wightmanReconstructionModel_nonempty_of_data	Phi4/Reconstruction/Part1Tail.lean	141	1	CONTENTFUL
interactionIntegrabilityModel_nonempty_of_uv_weight_nonempty	Phi4/Interaction/Part1Core.lean	463	2	CONTENTFUL
interactionUVModel_nonempty_of_sq_integrable_data	Phi4/Interaction/Part1Core.lean	383	2	CONTENTFUL
interactionWeightModel_nonempty_of_higher_moment_polynomial_bound_per_volume_and_uniform_partition_bound	Phi4/Interaction/Part1Tail.lean	684	3	CONTENTFUL
interactionWeightModel_nonempty_of_sq_moment_polynomial_bound_per_volume_and_uniform_partition_bound	Phi4/Interaction/Part1Tail.lean	621	3	CONTENTFUL
interactionWeightModel_nonempty_of_standardSeq_succ_tendsto_ae_and_uniform_integral_bound	Phi4/Interaction/Part1Core.lean	985	3	CONTENTFUL
interactionWeightModel_nonempty_of_data	Phi4/Interaction/Part1Core.lean	430	4	CONTENTFUL
